,Name,Population,Total Enrolled,City,State,Latitude,Longitude,Cluster
3147,THE SALON PROFESSIONAL ACADEMY-ONALASKA,83,60,ONALASKA,WI,43.87382805400006,-91.19736469499998,-1
3148,MORAINE VALLEY COMMUNITY COLLEGE,12182,11026,PALOS HILLS,IL,41.694613,-87.836915,374
3149,FOCUS PERSONAL TRAINING INSTITUTE,95,79,NEW YORK,NY,40.74588,-73.991781,369
3150,BETH MEDRASH OF ASBURY PARK,58,50,LAKEWOOD,NJ,40.043697,-74.210845,369
3151,BOCA BEAUTY ACADEMY-PARKLAND,178,155,PARKLAND,FL,26.32103,-80.203661,397
3152,O C COLLINS CAREER CENTER,416,293,CHESAPEAKE,OH,38.49189777200007,-82.47351636499997,158
3153,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT,44,19,UPTON,MA,42.163819611000065,-71.61624337999996,-1
3154,CENTRAL PIEDMONT COMMUNITY COLLEGE,19271,16668,CHARLOTTE,NC,35.217774442000064,-80.82979589099995,269
3155,OCONEE FALL LINE TECHNICAL COLLEGE,2126,1835,SANDERSVILLE,GA,32.996686502000045,-82.83962141399996,-1
3156,TUSCULUM UNIVERSITY,1940,1664,GREENEVILLE,TN,36.17255833000007,-82.76171580999994,-1
3157,DUQUESNE UNIVERSITY,10939,8830,PITTSBURGH,PA,40.437496,-79.993046,162
3158,EMPIRE BEAUTY SCHOOL-SHAMOKIN DAM,71,64,SHAMOKIN DAM,PA,40.85569,-76.818466,-1
3159,AGNES SCOTT COLLEGE,1468,1080,DECATUR,GA,33.76929104100003,-84.29542844799994,284
3160,PIMA COMMUNITY COLLEGE,17915,15544,TUCSON,AZ,32.226817691000065,-110.98522246599998,248
3161,COLORADO MESA UNIVERSITY,10137,9110,GRAND JUNCTION,CO,39.07784236700007,-108.55351779199998,398
3162,CUYAHOGA VALLEY CAREER CENTER,248,83,BRECKSVILLE,OH,41.34455483100004,-81.62537472599996,128
3163,GEORGIA NORTHWESTERN TECHNICAL COLLEGE,7200,6608,ROME,GA,34.22467272700004,-85.17136109799998,404
3164,MIAMI UNIVERSITY-HAMILTON,2755,2451,HAMILTON,OH,39.37744844500003,-84.56338495299997,142
3165,HARRISBURG AREA COMMUNITY COLLEGE,17705,15376,HARRISBURG,PA,40.29825572500005,-76.88634094699995,372
3166,MIND BODY INSTITUTE,46,37,MADISON,TN,36.219913329000065,-86.69689485999999,388
3167,MARGARET H ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER,96,78,LEWES,DE,38.771565198000076,-75.14286351899995,-1
3168,NOTRE DAME COLLEGE,1942,1585,CLEVELAND,OH,41.506893716000036,-81.51661675699995,128
3169,ATLANTA METROPOLITAN STATE COLLEGE,1860,1704,ATLANTA,GA,33.70893031300005,-84.40465895299997,284
3170,HOLLYWOOD INSTITUTE OF BEAUTY CAREERS-CASSELBERRY,353,316,CASSELBERRY,FL,28.633001111000056,-81.32149407799994,399
3171,INDIANA UNIVERSITY-NORTHWEST,4370,3801,GARY,IN,41.55632312700004,-87.33842894599996,374
3172,BUTLER UNIVERSITY,6816,5544,INDIANAPOLIS,IN,39.84016678000006,-86.17068692999999,65
3173,FORTIS COLLEGE-MONTGOMERY,318,284,MONTGOMERY,AL,32.38368580900004,-86.25188181899995,40
3174,INTERNATIONAL ACADEMY,177,156,SOUTH DAYTONA,FL,29.16215853600005,-80.99781070299997,399
3175,ORANGE TECHNICAL COLLEGE-MID FLORIDA CAMPUS,2419,2231,ORLANDO,FL,28.47169498200003,-81.41599609999997,399
3176,MR LEON'S SCHOOL OF HAIR DESIGN-MOSCOW,15,11,MOSCOW,ID,46.72953225300006,-117.001162008,188
